Dates	Days	answer
2021/6/19	0	CIGAR
2021/6/20	1	REBUT
2021/6/21	2	SISSY
2021/6/22	3	HUMPH
2021/6/23	4	AWAKE
2021/6/24	5	BLUSH
2021/6/25	6	FOCAL
2021/6/26	7	EVADE
2021/6/27	8	NAVAL
2021/6/28	9	SERVE
2021/6/29	10	HEATH
2021/6/30	11	DWARF
2021/7/1	12	MODEL
2021/7/2	13	KARMA
2021/7/3	14	STINK
2021/7/4	15	GRADE
2021/7/5	16	QUIET
2021/7/6	17	BENCH
2021/7/7	18	ABATE
2021/7/8	19	FEIGN
2021/7/9	20	MAJOR
2021/7/10	21	DEATH
2021/7/11	22	FRESH
2021/7/12	23	CRUST
2021/7/13	24	STOOL
2021/7/14	25	COLON
2021/7/15	26	ABASE
2021/7/16	27	MARRY
2021/7/17	28	REACT
2021/7/18	29	BATTY
2021/7/19	30	PRIDE
2021/7/20	31	FLOSS
2021/7/21	32	HELIX
2021/7/22	33	CROAK
2021/7/23	34	STAFF
2021/7/24	35	PAPER
2021/7/25	36	UNFED
2021/7/26	37	WHELP
2021/7/27	38	TRAWL
2021/7/28	39	OUTDO
2021/7/29	40	ADOBE
2021/7/30	41	CRAZY
2021/7/31	42	SOWER
2021/8/1	43	REPAY
2021/8/2	44	DIGIT
2021/8/3	45	CRATE
2021/8/4	46	CLUCK
2021/8/5	47	SPIKE
2021/8/6	48	MIMIC
2021/8/7	49	POUND
2021/8/8	50	MAXIM
2021/8/9	51	LINEN
2021/8/10	52	UNMET
2021/8/11	53	FLESH
2021/8/12	54	BOOBY
2021/8/13	55	FORTH
2021/8/14	56	FIRST
2021/8/15	57	STAND
2021/8/16	58	BELLY
2021/8/17	59	IVORY
2021/8/18	60	SEEDY
2021/8/19	61	PRINT
2021/8/20	62	YEARN
2021/8/21	63	DRAIN
2021/8/22	64	BRIBE
2021/8/23	65	STOUT
2021/8/24	66	PANEL
2021/8/25	67	CRASS
2021/8/26	68	FLUME
2021/8/27	69	OFFAL
2021/8/28	70	AGREE
2021/8/29	71	ERROR
2021/8/30	72	SWIRL
2021/8/31	73	ARGUE
2021/9/1	74	BLEED
2021/9/2	75	DELTA
2021/9/3	76	FLICK
2021/9/4	77	TOTEM
2021/9/5	78	WOOER
2021/9/6	79	FRONT
2021/9/7	80	SHRUB
2021/9/8	81	PARRY
2021/9/9	82	BIOME
2021/9/10	83	LAPEL
2021/9/11	84	START
2021/9/12	85	GREET
2021/9/13	86	GONER
2021/9/14	87	GOLEM
2021/9/15	88	LUSTY
2021/9/16	89	LOOPY
2021/9/17	90	ROUND
2021/9/18	91	AUDIT
2021/9/19	92	LYING
2021/9/20	93	GAMMA
2021/9/21	94	LABOR
2021/9/22	95	ISLET
2021/9/23	96	CIVIC
2021/9/24	97	FORGE
2021/9/25	98	CORNY
2021/9/26	99	MOULT
2021/9/27	100	BASIC
2021/9/28	101	SALAD
2021/9/29	102	AGATE
2021/9/30	103	SPICY
2021/10/1	104	SPRAY
2021/10/2	105	ESSAY
2021/10/3	106	FJORD
2021/10/4	107	SPEND
2021/10/5	108	KEBAB
2021/10/6	109	GUILD
2021/10/7	110	ABACK
2021/10/8	111	MOTOR
2021/10/9	112	ALONE
2021/10/10	113	HATCH
2021/10/11	114	HYPER
2021/10/12	115	THUMB
